 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  4 30  3    1   21.770    0.116   0.000   0.131  13.200 1.002   6.469 558.631   0.000  0.000    0.000   58.669   58.669    0.000  0.181  0.197  0.450  3.170  0.150    0.000
  5 30  3    1   21.770    0.000   0.000   0.000  13.200 0.005   6.782 550.797   0.000  0.000    0.000   58.755   58.755    0.000  0.182  0.165  0.450  3.215  0.150    0.000
  6 30  3    1   21.770    0.000   0.000   0.000   0.000 0.000   5.408 651.365   0.000  0.000    0.000   58.740   58.740    0.000  0.182  0.149  0.150  3.920  0.150    0.000
  1 31  3    1   23.090    3.731   8.783   0.156  23.966 1.001   4.264 562.219   0.000  0.000    0.000   89.167   89.167    0.000  0.966  0.153  0.450  3.234  0.075    0.165
  2 31  3    1   23.090    3.887   8.783   0.162  23.966 0.941   4.202 561.023   0.000  0.000    0.000   89.167   89.167    0.000  0.966  0.153  0.450  3.170  0.080    0.201
  3 31  3    1   23.090    5.529   8.783   4.020  23.966 0.999   6.469 563.152   0.000  0.000    0.000   58.685   58.685    0.000  0.181  0.153  0.450  3.170  0.150    3.751
  4 31  3    1   23.090    5.628   0.000   6.515  23.966 0.999   6.466 573.704   0.000  0.000    0.000   58.611   58.611    0.000  0.181  0.216  0.456  2.854  0.150    3.751
  5 31  3    1   23.090    4.672   0.000   4.839  23.966 1.031   6.780 573.207   0.000  0.000    0.000   58.697   58.697    0.000  0.181  0.193  0.450  2.988  0.150    3.751
  6 31  3    1   23.090    3.347   0.000   4.961  23.966 0.957   5.407 704.382   0.000  0.000    0.000   58.682   58.682    0.000  0.181  0.149  0.150  3.920  0.150    3.751
  1  1  4    1    1.270    0.000   0.000   0.000   0.000 0.000   4.264 562.678   0.000  0.000    0.000   89.141   89.141    0.000  0.965  0.153  0.450  3.234  0.075    0.000
  2  1  4    1    1.270    0.000   0.000   0.000   0.000 0.000   4.202 561.481   0.000  0.000    0.000   89.141   89.141    0.000  0.965  0.153  0.450  3.170  0.080    0.000
  3  1  4    1    1.270    0.000   0.000   0.000   0.000 0.000   6.466 563.717   0.000  0.000    0.000   58.637   58.637    0.000  0.181  0.153  0.450  3.170  0.150    0.000
  4  1  4    1    1.270    0.038   0.000   0.131   4.321 1.002   5.529 573.704   0.000  0.000    0.000   58.563   58.563    0.000  0.181  0.216  0.456  2.853  0.150    0.000
  5  1  4    1    1.270    0.000   0.000   0.000   4.321 0.005   5.529 573.967   0.000  0.000    0.000   58.649   58.649    0.000  0.181  0.195  0.460  2.877  0.150    0.000
  6  1  4    1    1.270    0.000   0.000   0.000   0.000 0.000   5.406 703.963   0.000  0.000    0.000   58.634   58.634    0.000  0.181  0.149  0.150  3.920  0.150    0.000
  1  2  4    1    2.300    0.000   0.000   0.000   0.000 0.000   4.263 562.678   0.000  0.000    0.000   89.112   89.112    0.000  0.964  0.153  0.450  3.234  0.075    0.000
  2  2  4    1    2.300    0.000   0.000   0.000   0.000 0.000   4.201 561.481   0.000  0.000    0.000   89.112   89.112    0.000  0.964  0.153  0.450  3.170  0.080    0.000
  3  2  4    1    2.300    0.000   0.000   0.000   0.000 0.000   6.464 563.885   0.000  0.000    0.000   58.584   58.584    0.000  0.181  0.153  0.450  3.170  0.150    0.000
  4  2  4    1    2.300    0.011   0.000   0.017  10.040 1.002   5.529 573.704   0.000  0.000    0.000   58.510   58.510    0.000  0.180  0.216  0.456  2.853  0.150    0.000
  5  2  4    1    2.300    0.002   0.000   0.131  10.040 1.034   5.529 574.178   0.000  0.000    0.000   58.596   58.596    0.000  0.181  0.195  0.458  2.884  0.150    0.000
  6  2  4    1    2.300    0.000   0.000   0.000  10.040 0.005   5.404 702.582   0.000  0.000    0.000   58.581   58.581    0.000  0.181  0.149  0.150  3.920  0.150    0.000
  1 11  4    1   13.980    0.000   0.000   0.000   0.000 0.000   4.262 555.393   0.000  0.000    0.000   89.082   89.082    0.000  0.963  0.153  0.450  3.234  0.075    0.000
  2 11  4    1   13.980    0.000   0.000   0.000   0.000 0.000   4.200 553.372   0.000  0.000    0.000   89.082   89.082    0.000  0.963  0.153  0.450  3.170  0.080    0.000
  3 11  4    1   13.980    0.182   0.000   0.332   1.343 1.002   0.002 548.360   0.000  0.000    0.000   58.617   58.617    0.000  0.180  0.153  0.450  3.170  0.150    0.000
  4 11  4    1   13.980    0.134   0.000   0.223   1.343 1.002   0.002 556.538   0.000  0.000    0.000   58.544   58.544    0.000  0.180  0.153  0.450  3.170  0.150    0.000
  5 11  4    1   13.980    0.133   0.000   0.183   1.343 1.034   0.002 557.294   0.000  0.000    0.000   58.629   58.629    0.000  0.181  0.153  0.450  3.215  0.150    0.000
  6 11  4    1   13.980    0.097   0.000   0.131   1.343 0.960   0.001 685.089   0.000  0.000    0.000   58.614   58.614    0.000  0.180  0.149  0.150  3.920  0.150    0.000
  1 12  4    1    0.000    0.000   0.000   0.000   0.000 0.000   4.262 575.909   0.000  0.000    0.000   89.067   89.067    0.000  0.962  0.153  0.450  3.234  0.075    0.000
